R,greek
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,2
9,1
10,9
11,9
12,2
13,2
14,2
15,3
16,9
17,5
18,5
19,9
20,3
21,3
22,4
23,5
24,9
25,3
26,4
27,9
28,5
29,9
30,2
31,9
32,3
33,5
34,3
35,2
36,5
37,2
38,4
39,2
40,4
41,3
42,3
43,5
44,5
45,5
46,3
47,9
48,5
49,2
50,3
51,4
52,4
53,9
54,2
55,3
56,4
57,4
58,9
59,5
60,9
61,9
62,5
63,5
64,3
65,3
66,5
67,5
68,4
69,5
70,5
71,4
72,9
73,4
74,4
75,9
76,9
77,2
78,9
79,3
80,9
81,2
82,5
83,5
84,5
85,3
86,4
87,4
88,4
89,5
90,5
91,9
92,3
93,5
94,3
95,5
96,9
97,3
98,4
99,3
100,2
