R,korean
1,9
2,5
3,5
4,2
5,2
6,3
7,9
8,5
9,5
10,9
11,9
12,2
13,4
14,2
15,5
16,2
17,5
18,5
19,4
20,2
21,3
22,3
23,9
24,3
25,9
26,2
27,3
28,5
29,2
30,9
31,2
32,3
33,5
34,3
35,2
36,9
37,3
38,3
39,5
40,9
41,5
42,3
43,5
44,5
45,5
46,4
47,2
48,9
49,4
50,4
51,9
52,5
53,4
54,9
55,3
56,4
57,3
58,4
59,2
60,2
61,9
62,5
63,5
64,9
65,5
66,5
67,5
68,2
69,5
70,3
71,3
72,3
73,4
74,3
75,5
76,5
77,4
78,9
79,5
80,9
81,5
82,5
83,5
84,5
85,9
86,2
87,3
88,2
89,2
90,3
91,3
92,3
93,1
94,2
95,5
96,9
97,2
98,9
99,5
100,9
