R,spanish
1,3
2,3
3,3
4,2
5,2
6,2
7,4
8,2
9,4
10,4
11,11
12,2
13,2
14,2
15,3
16,2
17,4
18,4
19,11
20,11
21,3
22,5
23,5
24,5
25,11
26,5
27,11
28,6
29,2
30,6
31,2
32,3
33,3
34,11
35,2
36,6
37,11
38,4
39,6
40,4
41,11
42,3
43,6
44,6
45,6
46,2
47,2
48,6
49,11
50,11
51,5
52,4
53,4
54,2
55,2
56,3
57,3
58,2
59,3
60,3
61,11
62,1
63,11
64,11
65,4
66,3
67,3
68,3
69,6
70,5
71,4
72,4
73,4
74,11
75,11
76,3
77,2
78,2
79,2
80,11
81,11
82,4
83,3
84,6
85,4
86,3
87,11
88,6
89,5
90,4
91,11
92,4
93,6
94,3
95,6
96,4
97,3
98,4
99,11
100,4
