R,southern_us
1,11
2,4
3,3
4,4
5,3
6,11
7,2
8,5
9,5
10,11
11,3
12,3
13,4
14,11
15,3
16,3
17,1
18,2
19,2
20,11
21,2
22,11
23,5
24,2
25,11
26,5
27,2
28,3
29,11
30,3
31,11
32,11
33,6
34,3
35,11
36,5
37,3
38,4
39,6
40,4
41,4
42,11
43,5
44,4
45,6
46,11
47,3
48,5
49,2
50,2
51,3
52,2
53,2
54,4
55,11
56,5
57,11
58,11
59,4
60,2
61,3
62,6
63,6
64,2
65,2
66,2
67,3
68,3
69,4
70,5
71,2
72,11
73,4
74,4
75,5
76,4
77,4
78,3
79,2
80,4
81,4
82,2
83,3
84,11
85,3
86,4
87,2
88,5
89,5
90,2
91,11
92,3
93,5
94,4
95,6
96,5
97,3
98,11
99,4
100,4
