R,jamaican
1,5
2,5
3,5
4,2
5,2
6,9
7,9
8,5
9,5
10,2
11,9
12,1
13,9
14,2
15,2
16,9
17,5
18,4
19,9
20,2
21,3
22,2
23,4
24,9
25,9
26,2
27,2
28,5
29,2
30,5
31,2
32,3
33,5
34,9
35,2
36,3
37,3
38,3
39,5
40,9
41,3
42,3
43,4
44,5
45,5
46,4
47,2
48,9
49,2
50,9
51,2
52,3
53,9
54,2
55,3
56,4
57,9
58,4
59,3
60,9
61,3
62,5
63,5
64,2
65,4
66,5
67,9
68,3
69,3
70,4
71,4
72,5
73,2
74,3
75,5
76,3
77,4
78,9
79,9
80,9
81,4
82,5
83,5
84,5
85,3
86,4
87,5
88,3
89,9
90,4
91,5
92,3
93,4
94,2
95,5
96,4
97,3
98,3
99,5
100,5
