R,indian
1,4
2,6
3,11
4,11
5,11
6,3
7,11
8,2
9,4
10,2
11,11
12,3
13,3
14,11
15,4
16,4
17,4
18,5
19,11
20,3
21,4
22,3
23,2
24,4
25,3
26,5
27,11
28,6
29,3
30,3
31,11
32,11
33,3
34,3
35,3
36,1
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,11
48,2
49,3
50,4
51,2
52,4
53,4
54,11
55,11
56,2
57,11
58,5
59,6
60,3
61,3
62,6
63,2
64,11
65,5
66,11
67,3
68,4
69,6
70,5
71,4
72,4
73,11
74,3
75,2
76,5
77,4
78,11
79,6
80,4
81,5
82,6
83,6
84,6
85,3
86,11
87,6
88,5
89,2
90,3
91,3
92,11
93,5
94,4
95,6
96,4
97,3
98,4
99,4
100,4
