R,french
1,3
2,2
3,3
4,11
5,3
6,11
7,4
8,4
9,4
10,11
11,11
12,2
13,11
14,3
15,2
16,3
17,6
18,11
19,3
20,11
21,3
22,11
23,6
24,4
25,11
26,5
27,2
28,2
29,3
30,11
31,3
32,2
33,4
34,11
35,3
36,6
37,3
38,5
39,6
40,4
41,4
42,11
43,6
44,3
45,6
46,2
47,2
48,4
49,3
50,2
51,11
52,2
53,11
54,3
55,4
56,4
57,5
58,2
59,6
60,11
61,2
62,6
63,2
64,3
65,2
66,3
67,11
68,4
69,6
70,6
71,4
72,6
73,5
74,4
75,4
76,3
77,3
78,3
79,4
80,6
81,4
82,4
83,1
84,11
85,11
86,2
87,11
88,5
89,4
90,2
91,2
92,11
93,5
94,4
95,6
96,4
97,6
98,3
99,2
100,2
